id,OptVal,computeTime,Feasibility,
112,-0.730301655837,663.158,1,
113,0,597.305,0,
114,-0.565132257206,628.88,1,
115,-0.524696667452,584.039,1,
116,-0.980390870625,697.71,1,
117,0,723.667,0,
118,-0.748890329808,650.488,1,
119,0,766.855,0,
120,-0.567479826134,666.405,1,
121,-0.940682514803,779.167,1,
122,-0.715723538732,731.205,1,
123,-0.85346652829,640.439,1,
124,-0.956480852266,716.291,1,
125,0,641.894,0,
126,-0.682700494311,645.328,1,
127,-0.888606456833,671.199,1,
128,-0.699691618008,662.306,1,
129,-0.972984184567,832.077,1,
130,-0.633997046327,663.461,1,
131,0,601.094,0,
132,-0.531539716201,541.754,1,
133,0,710.618,0,
134,-0.591378580993,683.666,1,
135,0,714.076,0,
136,-0.158600064004,665.542,1,
137,-0.988367031316,711.99,1,
138,-0.498538731399,621.027,1,
139,-0.565602547243,724.375,1,
140,-0.540330703642,678.886,1,
141,-1.03701608388,780.816,1,
142,0,571.147,0,
143,-0.876715004613,577.894,1,
144,-0.770691989602,573.399,1,
145,-0.0257585037969,722.66,1,
146,-1.12782362509,623.698,1,
147,0,836.873,0,
148,0,707.43,0,
149,-0.403454419335,642.129,1,
150,-0.673591485265,857.633,1,
151,-0.262317939406,613.164,1,
152,-0.896078923751,600.119,1,
153,-0.702048738987,713.089,1,
154,-1.028831482,586.301,1,
155,0,620.033,0,
156,-0.736048777654,643.677,1,
157,-0.824076213795,645.083,1,
158,-0.80527662877,628.153,1,
159,-0.633507697049,536.985,1,
160,-0.491368230881,565.444,1,
161,-0.231991001747,597.085,1,
162,-0.532377799491,631.603,1,
163,-0.407132419745,598.395,1,
164,-0.604104415343,627.615,1,
165,-0.90442543083,623.577,1,
166,-0.618411009648,573.782,1,
167,-0.890917315885,596.907,1,
168,-0.523012632802,585.475,1,
169,-0.742414874945,576.854,1,
170,-0.687633352089,679.226,1,
171,0,737.502,0,
172,-0.465749856681,655.033,1,
173,-0.267305326314,585.64,1,
174,0,677.284,0,
175,-1.05824095154,673.153,1,
176,0,722.347,0,
177,-0.525785481647,585.254,1,
178,0,700.443,0,
179,-0.771790332383,780.234,1,
180,0,629.009,0,
181,0,808.251,0,
182,-0.320539008451,691.955,1,
183,-0.712107980648,728.43,1,
184,0,835.49,0,
185,-0.916616197063,662.43,1,
186,-0.267409115814,539.893,1,
187,-0.467970312356,663.869,1,
188,0,642.871,0,
189,-0.970304874538,726.775,1,
190,-0.284506016944,660.502,1,
191,-0.511565901389,598.687,1,
192,0,725.313,0,
193,0,563.104,0,
194,-0.665680148015,743.879,1,
195,-0.235448333833,640.513,1,
196,-0.626492199608,804.849,1,
197,-0.720446576225,593.688,1,
198,-0.660495578633,652.795,1,
199,-0.728038133575,617.569,1,
200,-0.689213799949,684.183,1,
201,-0.964629535451,832.778,1,
202,-0.915335474078,686.583,1,
203,0,696.191,0,
204,-0.550597819139,634.62,1,
205,-0.629347184813,629.187,1,
206,-0.810495009624,585.831,1,
207,-0.879477268847,710.353,1,
208,-0.511841806973,592.205,1,
209,-0.802428416512,612.805,1,
210,-0.864761771076,784.808,1,
211,-0.94418248483,667.95,1,
212,-0.871018273986,650.093,1,
213,-0.40348626011,648.013,1,
214,-0.672194161447,610.193,1,
215,-0.57323621708,661.413,1,
216,-1.07810388031,752.625,1,
217,0,673.058,0,
218,-0.651923583372,574.726,1,
219,-0.701224712947,692.481,1,
220,0,729.075,0,
221,-0.621976058665,697.434,1,
222,0,700.069,0,
223,-0.761577143445,755.206,1,
224,-0.276512932378,610.599,1,
